city,energy_reduction_goal_stringency_2_pts,initial_renewable_energy_supply_0.5_pts,renewable_energy_goal_stringency_1.5_pts,climate_goal_stringency_2_pts,climate_goal_progress_2_pts,total_community_wide_climate_mitigation_and_energy_goals_scores,state,location,equity_driven_engagement_0.5_pts,equity_driven_decision_making_1_pt,equity_accountability_measures_1_pt,total_equity_driven_climate_action,district_energy_integration_0.5_pts,district_energy_equity_related_0.5_pts,microgrid_integration_0.5_pts,microgrid_equity_related_0.5_pts,community_solar_support_0.5_pts,solar_equity_related_0.5_pts,total_clean_distributed_energy_resources,heat_island_mitigation_goal_0.5_pts,heat_island_mitigation_policies_and_programs_1_pt,total_heat_island_mitigation_goals
st_petersburg,0,0,1.5,1,0,2.5,FL,fl_st_petersburg,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,1,1.5
aurora,0,0,0,0,2,2,CO,co_aurora,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0
boise,0,0.5,0.5,1,0,2,ID,id_boise,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0.5
charleston,0,0,0,2,0,2,SC,sc_charleston,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cincinnati,0,0,1,0,1,2,OH,oh_cincinnati,,,,,0,0,0,0,0,0,0,0,1,1
houston,0,0,0,2,0,2,TX,tx_houston,0.5,0,0,0.5,0,0,0,0,0.5,0.5,1,0.5,1,1.5
milwaukee,0,0,0,2,0,2,WI,wi_milwaukee,0,0.5,0,0.5,0,0,0.5,0,0,0,0.5,0.5,0.5,1
reno,0,0.5,0.5,1,0,2,NV,nv_reno,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cleveland,1,0,0.5,0,0,1.5,OH,oh_cleveland,0,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0.5,1,1.5
columbia,0,0,1.5,0,0,1.5,SC,sc_columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dayton,0,0,1.5,0,0,1.5,OH,oh_dayton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indianapolis,0,0,0.5,1,0,1.5,IN,in_indianapolis,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,1,1.5
providence,0,0.5,0,1,0,1.5,RI,ri_providence,0.5,0.5,0.5,1.5,0,0,0,0,0,0,0,0,1,1
riverside,0,0.5,1,0,0,1.5,CA,ca_riverside,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1.5
charlotte,0,0,0,1,0,1,NC,nc_charlotte,,,,,0,0,0.5,0,0,0,0.5,0.5,0.5,1
dallas,0,0,0,1,0,1,TX,tx_dallas,0.5,0,0.5,1,0,0,0,0,0,0,0,0.5,1,1.5
hartford,0,0,0,1,0,1,CT,ct_hartford,0.5,0,0.5,1,0,0,0.5,0,0.5,0,1,0.5,1,1.5
raleigh,0,0,0,1,0,1,NC,nc_raleigh,0,0,0.5,0.5,0,0,0,0,0,0,0,0,1,1
sacramento,0,0,0,0,1,1,CA,ca_sacramento,0.5,0.5,0,1,0,0,0,0,0.5,0,0.5,0.5,1,1.5
new_york,0,0,0.5,0,0,0.5,NY,ny_new_york,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,1,1.5
worcester,0,0.5,0,0,0,0.5,MA,ma_worcester,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akron,0,0,0,0,0,0,OH,oh_akron,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0.5
albuquerque,0,0,0,0,0,0,NM,nm_albuquerque,0,0.5,1,1.5,0,0,0,0,0,0,0,0.5,0.5,1
allentown,0,0,0,0,0,0,PA,pa_allentown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augusta,0,0,0,0,0,0,GA,ga_augusta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bakersfield,0,0,0,0,0,0,CA,ca_bakersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baton_rouge,0,0,0,0,0,0,LA,la_baton_rouge,0,0,0,0,0,0,0,0,0,0,0,0,0,0
birmingham,0,0,0,0,0,0,AL,al_birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
bridgeport,0,0,0,0,0,0,CT,ct_bridgeport,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0.5
buffalo,0,0,0,0,0,0,NY,ny_buffalo,0,0,0,0,0,0,0,0,0,0,0,0,1,1
cape_coral,0,0,0,0,0,0,FL,fl_cape_coral,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colorado_springs,0,0,0,0,0,0,CO,co_colorado_springs,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0,0.5
detroit,0,0,0,0,0,0,MI,mi_detroit,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5
el_paso,0,0,0,0,0,0,TX,tx_el_paso,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
fort_worth,0,0,0,0,0,0,TX,tx_fort_worth,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
fresno,0,0,0,0,0,0,CA,ca_fresno,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grand_rapids,0,0,0,0,0,0,MI,mi_grand_rapids,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,1,1.5
greensboro,0,0,0,0,0,0,NC,nc_greensboro,0,0,0,0,0,0,0,0,0,0,0,0,0,0
henderson,0,0,0,0,0,0,NV,nv_henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksonville,0,0,0,0,0,0,FL,fl_jacksonville,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5
lakeland,0,0,0,0,0,0,FL,fl_lakeland,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
little_rock,0,0,0,0,0,0,AR,ar_little_rock,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
long_beach,0,0,0,0,0,0,CA,ca_long_beach,0.5,0,0,0.5,0,0,0.5,0,0,0,0.5,0.5,1,1.5
madison,0,0,0,0,0,0,WI,wi_madison,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5
mc_allen,0,0,0,0,0,0,TX,tx_mc_allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mesa,0,0,0,0,0,0,AZ,az_mesa,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
nashville,0,0,0,0,0,0,TN,tn_nashville,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,1,1.5
newark,0,0,0,0,0,0,NJ,nj_newark,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0
oklahoma_city,0,0,0,0,0,0,OK,ok_oklahoma_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0
omaha,0,0,0,0,0,0,NE,ne_omaha,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
oxnard,0,0,0,0,0,0,CA,ca_oxnard,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
provo,0,0,0,0,0,0,UT,ut_provo,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0.5
rochester,0,0,0,0,0,0,NY,ny_rochester,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san_juan,0,0,0,0,0,0,PR,pr_san_juan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springfield,0,0,0,0,0,0,MA,ma_springfield,0.5,0,0.5,1,0,0,0,0,0.5,0.5,1,0.5,0,0.5
stockton,0,0,0,0,0,0,CA,ca_stockton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syracuse,0,0,0,0,0,0,NY,ny_syracuse,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tampa,0,0,0,0,0,0,FL,fl_tampa,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1.5
toledo,0,0,0,0,0,0,OH,oh_toledo,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5
tucson,0,0,0,0,0,0,AZ,az_tucson,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
tulsa,0,0,0,0,0,0,OK,ok_tulsa,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5
virginia_beach,0,0,0,0,0,0,VA,va_virginia_beach,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1
wichita,0,0,0,0,0,0,KS,ks_wichita,0,0,0,0,0,0,0,0,0,0,0,0,0,0
winston_salem,0,0,0.,0,0,0,NC,nc_winston_salem,0,0,0,0,0,0,0,0,0,0,0,0,0,0
