city,electric_savings_and_partnerships_3_pts,natural_gas_savings_1.5_pts,low_income_programs_1.5_pts,multifamily_programs_1_pt,data_provision_2_pts,total_scores_for_energy_efficiency_efforts_of_energy_utilities,state,location,decarbonize_electric_grid_ious_only_1.5_pts,electric_utility_emissions_per_capita_munis_only_1.5_pts,electric_utility_emission_goal_stringency_1.5_pts,total_scores_for_decarbonization_efforts_of_energy_utilities,joint_water_energy_programs_0.5_pts,water_savings_strategy_0.5_pts,energy_efficiency_programs_1_pt,self_generation_1_pt,total_scores_for_efficiency_efforts_of_water_utilities
toledo,0.5,0.5,1.5,1,0.5,4,OH,oh_toledo,0,,0.5,0.5,0.5,0,0,0,0.5
austin,0.5,0,1,1,1,3.5,TX,tx_austin,,0.5,1.5,2,0.5,0.5,1,1,3
charlotte,2,0,0.5,0,1,3.5,NC,nc_charlotte,1,,0.5,1.5,0,0,1,1,2
dayton,2.5,1,0,0,0,3.5,OH,oh_dayton,0,,1.5,1.5,0,0,0,0,0
milwaukee,1,0.5,1.5,0.5,0,3.5,WI,wi_milwaukee,0.5,,1.5,2,0,0,0.5,1,1.5
tulsa,1.5,0.5,0.5,0.5,0.5,3.5,OK,ok_tulsa,0,,0.5,0.5,0.5,0,0,1,1.5
boise,1,0,1,0,1,3,ID,id_boise,1.5,,1,2.5,0.5,0,0.5,1,2
cincinnati,1,0,0.5,0.5,0.5,2.5,OH,oh_cincinnati,1.5,,0.5,2,0,0,0.5,1,1.5
dallas,0.5,0,0.5,0.5,1,2.5,TX,tx_dallas,0.5,,0,0.5,0,0,0,1,1
knoxville,0,0,1.5,0,1,2.5,TN,tn_knoxville,,1,1,2,0.5,0,1,1,2.5
memphis,0,0,1.5,0,1,2.5,TN,tn_memphis,,1,1,2,0,0,0,1,1
nashville,0,0,1.5,0,1,2.5,TN,tn_nashville,,1,1,2,0,0,0.5,1,1.5
orlando,0,0.5,0,0.5,1.5,2.5,FL,fl_orlando,,0,1,1,0.5,0.5,0.5,1,2.5
raleigh,1,0,1,0,0.5,2.5,NC,nc_raleigh,0.5,,0.5,1,0,0.5,1,1,2.5
san_antonio,0.5,0,0.5,0,1.5,2.5,TX,tx_san_antonio,,0.5,1,1.5,0.5,0.5,0.5,0,1.5
akron,0.5,0.5,1,0,0,2,OH,oh_akron,0,,0.5,0.5,0,0,0,1,1
allentown,0.5,0.5,0,0,1,2,PA,pa_allentown,0,,0.5,0.5,0,0,0,1,1
augusta,0,0,0.5,1,0.5,2,GA,ga_augusta,0,,0.5,0.5,0,0,0,0,0
fort_worth,1,0,0.5,0.5,0,2,TX,tx_fort_worth,0.5,,0,0.5,0,0.5,0.5,1,2
new_orleans,1,0,0,0.5,0.5,2,LA,la_new_orleans,,0.5,1,1.5,0,0,0,0,0
newark,0,0,1,0.5,0.5,2,NJ,nj_newark,0,,1.5,1.5,0,0,0,0,0
tampa,1,0.5,0.5,0,0,2,FL,fl_tampa,0,,0,0,0,0,0,0,0
tucson,1,0.5,0,0.5,0,2,AZ,az_tucson,0,,0,0,0,0,0,0,0
winston_salem,1,0,0.5,0,0.5,2,NC,nc_winston_salem,0.5,,0.5,1,0,0,1,1,2
charleston,0.5,0,0.5,0.5,0,1.5,SC,sc_charleston,0,,0.5,0.5,0,0,0,0,0
colorado_springs,0.5,0.5,0.5,0,0,1.5,CO,co_colorado_springs,,0,0,0,0,0.5,0,0,0.5
columbia,0.5,0,0.5,0.5,0,1.5,SC,sc_columbia,0,,0.5,0.5,0,0,0.5,0,0.5
greensboro,1,0,0.5,0,0,1.5,NC,nc_greensboro,0,,0.5,0.5,0,0,0,0,0
las_vegas,0.5,0,0,0,1,1.5,NV,nv_las_vegas,1,,0,1,0.5,0.5,0.5,1,2.5
little_rock,0.5,1,0,0,0,1.5,AR,ar_little_rock,0,,1,1,0,0,0,0,0
oklahoma_city,0.5,0.5,0.5,0,0,1.5,OK,ok_oklahoma_city,0,,0.5,0.5,0,0,0.5,0,0.5
richmond,0,0,0,0,1.5,1.5,VA,va_richmond,0.5,,1,1.5,0,0.5,0,0,0.5
st_petersburg,0,0.5,0.5,0,0.5,1.5,FL,fl_st_petersburg,1,,0.5,1.5,0,0,0,0,0
henderson,0.5,0,0.5,0,0,1,NV,nv_henderson,0,,0,0,0,0,0,0,0
jacksonville,0,0.5,0.5,0,0,1,FL,fl_jacksonville,,0,0,0,0.5,0,0,0.5,1
louisville,0,0,0.5,0,0.5,1,KY,ky_louisville,0.5,,0.5,1,0,0,1,1,2
miami,0,0,0,0,1,1,FL,fl_miami,0,,1.5,1.5,0,0.5,0,0,0.5
wichita,0,0,0,1,0,1,KS,ks_wichita,0,,0.5,0.5,0,0,0,0,0
cape_coral,0,0.5,0,0,0,0.5,FL,fl_cape_coral,,0,0,0,0,0,0,0,0
el_paso,0.5,0,0,0,0,0.5,TX,tx_el_paso,0.5,,1.5,2,0,0.5,1,1,2.5
lakeland,0,0.5,0,0,0,0.5,FL,fl_lakeland,,0,0,0,0,0,0,0,0
mc_allen,0,0,0.5,0,0,0.5,TX,tx_mc_allen,0,,0.5,0.5,0,0,0,0,0
provo,0,0,0,0,0.5,0.5,UT,ut_provo,,0,0,0,0,0.5,0,0,0.5
reno,0.5,0,0,0,0,0.5,NV,nv_reno,0,,0,0,0,0,0,0,0
virginia_beach,0,0,0,0,0.5,0.5,VA,va_virginia_beach,0,,1,1,0,0,0,1,1
baton_rouge,0,0,0,0,0,0,LA,la_baton_rouge,0,,1,1,0,0,0,0,0
birmingham,0,0,0,0,0,0,AL,al_birmingham,0,,0.5,0.5,0,0,0,0,0
omaha,0,0,0,0,0,0,NE,ne_omaha,,0,0,0,0,0,0,0,0
san_juan,0,0,0,0,0,0,PR,pr_san_juan,,0,0,0,0,0,0,0,0
