city,energy_reduction_goal_stringency_2_pts,initial_renewable_energy_supply_0.5_pts,renewable_energy_goal_stringency_1.5_pts,climate_goal_stringency_2_pts,climate_goal_progress_2_pts,total_community_wide_initiatives,state,location,equity driven_engagement_0.5_pts,equity driven_decision_making_1_pt,equity_accountability_measures_1_pt,total_equity_driven_climate_action,district_energy_integration_0.5_pts,district_energy_equity_related_0.5_pts,microgrid_integration_0.5_pts,microgrid_equity_related_0.5_pts,community_solar_support_0.5_pts,solar_equity_related_0.5_pts,total_clean_distributed_energy_resources,heat_island_mitigation_goal_0.5_pts,heat_island_mitigation_policies_and_programs_1_pt,total_heat_island_mitigation_goals
st-petersburg,0,0,1.5,1,0,2.5,FL,fl-st-petersburg,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,1,1.5
aurora,0,0,0,0,2,2,CO,co-aurora,0,0,0,0,0,0,0,0,0.5,0.5,1,0,0,0
boise,0,0.5,0.5,1,0,2,ID,id-boise,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0.5
charleston,0,0,0,2,0,2,SC,sc-charleston,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cincinnati,0,0,1,0,1,2,OH,oh-cincinnati,,,,,0,0,0,0,0,0,0,0,1,1
houston,0,0,0,2,0,2,TX,tx-houston,0.5,0,0,0.5,0,0,0,0,0.5,0.5,1,0.5,1,1.5
milwaukee,0,0,0,2,0,2,WI,wi-milwaukee,0,0.5,0,0.5,0,0,0.5,0,0,0,0.5,0.5,0.5,1
reno,0,0.5,0.5,1,0,2,NV,nv-reno,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cleveland,1,0,0.5,0,0,1.5,OH,oh-cleveland,0,0,0.5,0.5,0.5,0,0,0,0,0,0.5,0.5,1,1.5
columbia,0,0,1.5,0,0,1.5,SC,sc-columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dayton,0,0,1.5,0,0,1.5,OH,oh-dayton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
indianapolis,0,0,0.5,1,0,1.5,IN,in-indianapolis,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,1,1.5
providence,0,0.5,0,1,0,1.5,RI,ri-providence,0.5,0.5,0.5,1.5,0,0,0,0,0,0,0,0,1,1
riverside,0,0.5,1,0,0,1.5,CA,ca-riverside,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1.5
charlotte,0,0,0,1,0,1,NC,nc-charlotte,,,,,0,0,0.5,0,0,0,0.5,0.5,0.5,1
dallas,0,0,0,1,0,1,TX,tx-dallas,0.5,0,0.5,1,0,0,0,0,0,0,0,0.5,1,1.5
hartford,0,0,0,1,0,1,CT,ct-hartford,0.5,0,0.5,1,0,0,0.5,0,0.5,0,1,0.5,1,1.5
raleigh,0,0,0,1,0,1,NC,nc-raleigh,0,0,0.5,0.5,0,0,0,0,0,0,0,0,1,1
sacramento,0,0,0,0,1,1,CA,ca-sacramento,0.5,0.5,0,1,0,0,0,0,0.5,0,0.5,0.5,1,1.5
new-york,0,0,0.5,0,0,0.5,NY,ny-new-york,0,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,1,1.5
worcester,0,0.5,0,0,0,0.5,MA,ma-worcester,0,0,0,0,0,0,0,0,0,0,0,0,0,0
akron,0,0,0,0,0,0,OH,oh-akron,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0.5
albuquerque,0,0,0,0,0,0,NM,nm-albuquerque,0,0.5,1,1.5,0,0,0,0,0,0,0,0.5,0.5,1
allentown,0,0,0,0,0,0,PA,pa-allentown,0,0,0,0,0,0,0,0,0,0,0,0,0,0
augusta,0,0,0,0,0,0,GA,ga-augusta,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bakersfield,0,0,0,0,0,0,CA,ca-bakersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baton-rouge,0,0,0,0,0,0,LA,la-baton-rouge,0,0,0,0,0,0,0,0,0,0,0,0,0,0
birmingham,0,0,0,0,0,0,AL,al-birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
bridgeport,0,0,0,0,0,0,CT,ct-bridgeport,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0.5
buffalo,0,0,0,0,0,0,NY,ny-buffalo,0,0,0,0,0,0,0,0,0,0,0,0,1,1
cape-coral,0,0,0,0,0,0,FL,fl-cape-coral,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colorado-springs,0,0,0,0,0,0,CO,co-colorado-springs,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,0,0.5
detroit,0,0,0,0,0,0,MI,mi-detroit,0.5,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5
el-paso,0,0,0,0,0,0,TX,tx-el-paso,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
fort-worth,0,0,0,0,0,0,TX,tx-fort-worth,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
fresno,0,0,0,0,0,0,CA,ca-fresno,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grand-rapids,0,0,0,0,0,0,MI,mi-grand-rapids,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,1,1.5
greensboro,0,0,0,0,0,0,NC,nc-greensboro,0,0,0,0,0,0,0,0,0,0,0,0,0,0
henderson,0,0,0,0,0,0,NV,nv-henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jacksonville,0,0,0,0,0,0,FL,fl-jacksonville,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5
lakeland,0,0,0,0,0,0,FL,fl-lakeland,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
little-rock,0,0,0,0,0,0,AR,ar-little-rock,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
long-beach,0,0,0,0,0,0,CA,ca-long-beach,0.5,0,0,0.5,0,0,0.5,0,0,0,0.5,0.5,1,1.5
madison,0,0,0,0,0,0,WI,wi-madison,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5
mcallen,0,0,0,0,0,0,TX,tx-mcallen,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mesa,0,0,0,0,0,0,AZ,az-mesa,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
nashville,0,0,0,0,0,0,TN,tn-nashville,0,0,0,0,0,0,0,0,0.5,0.5,1,0.5,1,1.5
newark,0,0,0,0,0,0,NJ,nj-newark,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0
oklahoma-city,0,0,0,0,0,0,OK,ok-oklahoma-city,0,0,0,0,0,0,0,0,0,0,0,0,0,0
omaha,0,0,0,0,0,0,NE,ne-omaha,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
oxnard,0,0,0,0,0,0,CA,ca-oxnard,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
provo,0,0,0,0,0,0,UT,ut-provo,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0.5
rochester,0,0,0,0,0,0,NY,ny-rochester,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san-juan,0,0,0,0,0,0,PR,pr-san-juan,0,0,0,0,0,0,0,0,0,0,0,0,0,0
springfield,0,0,0,0,0,0,MA,ma-springfield,0.5,0,0.5,1,0,0,0,0,0.5,0.5,1,0.5,0,0.5
stockton,0,0,0,0,0,0,CA,ca-stockton,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syracuse,0,0,0,0,0,0,NY,ny-syracuse,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tampa,0,0,0,0,0,0,FL,fl-tampa,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1.5
toledo,0,0,0,0,0,0,OH,oh-toledo,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5
tucson,0,0,0,0,0,0,AZ,az-tucson,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5
tulsa,0,0,0,0,0,0,OK,ok-tulsa,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5
virginia-beach,0,0,0,0,0,0,VA,va-virginia-beach,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1
wichita,0,0,0,0,0,0,KS,ks-wichita,0,0,0,0,0,0,0,0,0,0,0,0,0,0
winston-salem,0,0,0.,0,0,0,NC,nc-winston-salem,0,0,0,0,0,0,0,0,0,0,0,0,0,0
