rank,city,state,community_wide_initiatives,building,transportation,energy_and_water,local_government,total,score_delta_2020,rank_delta_2020,location
76,dayton,OH,1.5,3.5,4.5,5,0,14.5,1,5,oh_dayton
77,el_paso,TX,0.5,4,3,5,1.5,14,0,3,tx_el_paso
77,toledo,OH,1,4,4,5,0,14,-1,2,oh_toledo
79,charleston,SC,2,2,5,2,2,13,4,10,sc_charleston
80,jacksonville,FL,1,3,6,2,0.5,12.5,-6,-6,fl_jacksonville
81,tampa,FL,1.5,3.5,4.5,2,0,11.5,-6,-6,fl_tampa
82,henderson,NV,0,7.5,2.5,1,0,11,0.5,4,nv_henderson
82,tulsa,OK,0.5,0.5,3.5,5.5,1,11,-0.5,3,ok_tulsa
84,oklahoma_city,OK,0,0.5,7,2.5,0.5,10.5,4.5,13,ok_oklahoma_city
84,akron,OH,1,3,3,3.5,0,10.5,-1.5,-1,oh_akron
86,birmingham,AL,0.5,3,4.5,0.5,1.5,10,0,2,al_birmingham
87,winston-salem,NC,0,0.5,3,5,1,9.5,-2.5,-4,nc_winston-salem
88,allentown,PA,0,3.5,2,3.5,0,9,-1.5,-2,pa_allentown
89,omaha,NE,0.5,1,6.5,0,0,8,-8,-11,ne_omaha
90,columbia,SC,1.5,1,2.5,2.5,0,7.5,-1,1,sc_columbia
90,greensboro,NC,0,2,3,2,0.5,7.5,-1.5,-1,nc_greensboro
90,lakeland,FL,0.5,3,3.5,0.5,0,7.5,-5,-8,fl_lakeland
93,san_juan,PR,0,6,1,0,0,7,0.5,3,pr_san_juan
94,little_rock,AR,0.5,0.5,2.5,2.5,0,6,-2.5,-3,ar_little_rock
95,augusta,GA,0,1.5,1.5,2.5,0,5.5,1,5,ga_augusta
95,provo,UT,1,1.5,2,1,0,5.5,-2,-2,ut_provo
97,mc_allen,TX,0,3.5,0.5,1,0,5,-2,-2,tx_mcallen
98,cape_coral,FL,0,2.5,1,0.5,0.5,4.5,-3,-5,fl_cape_coral
99,wichita,KS,0,0,1,1.5,1.5,4,-1,0,ks_wichita
100,baton_rouge,LA,0,1,1.5,1,0,3.5,-2.5,-3,la_baton_rouge
